country,year,total_patent,gerd_lag1,tertiary_lag1,eigen,efficiency
Denmark,2014,1193,2.970481536,80.9310379,0.04,0.611
Finland,2014,1379,3.271372008,90.9941864,0.041,0.671
France,2014,8188,2.237025131,59.8487587,0.24,0.599
Germany,2014,17850,2.835986547,61.38684082,0.414,0.649
Greece,2014,126,0.811312099,116.3768234,0.006,0.634
Hungary,2014,252,1.386912396,57.06502151,0.014,0.576
Ireland,2014,423,1.565802252,71.69954681,0.035,0.49
Italy,2014,3506,1.301074753,62.29616165,0.087,0.599
Korea,2014,13212,3.951238982,95.60864258,0.057,0.47
Mexico,2014,312,0.425028177,30.30003929,0.017,0.422
Netherlands,2014,3628,1.929865453,,0.122,0.522
NewZealand,2014,368,1.15375195,77.26278687,0.011,0.558
Norway,2014,696,1.652377033,76.50003052,0.031,0.574
Poland,2014,425,0.870531929,71.85639954,0.024,0.623
Portugal,2014,158,1.3246765,66.13674164,0.006,0.666
Russia,2014,1093,1.027321227,77.85031891,0.034,0.447
Singapore,2014,803,1.923349243,,0.069,0.429
Slovenia,2014,142,2.564868238,85.28806305,0.005,0.718
SouthAfrica,2014,315,0.724879656,19.93049049,0.009,0.556
Spain,2014,1847,1.275231392,83.72563934,0.066,0.593
Sweden,2014,3157,3.260416604,63.21715927,0.107,0.652
Switzerland,2014,2439,,56.27014923,0.197,0.606
UK,2014,6368,1.620276874,57.03876114,0.326,0.502
US,2014,53801,2.70972319,88.72641754,0.625,0.802
Austria,2015,1539,3.084286721,79.15869904,0.082,0.657
Belgium,2015,1226,2.370016325,72.99739838,0.113,0.626
Canada,2015,3032,1.714172855,65.61290741,0.2,0.351
Chile,2015,186,0.375034342,82.84638214,0.004,0.596
China,2015,33129,2.02243256,42.43072891,0.318,0.412
Czech,2015,258,1.972847232,65.62409973,0.015,0.655
Denmark,2015,1268,2.914093489,81.02908325,0.039,0.662
Finland,2015,1296,3.14750818,88.88166046,0.043,0.695
France,2015,8122,2.27591667,61.51047897,0.251,0.617
Germany,2015,18077,2.877840495,65.50390625,0.442,0.637
Greece,2015,108,0.833297289,122.4020004,0.004,0.701
Hungary,2015,277,1.349144472,52.01586914,0.016,0.696
